"iddenormalize_budget","org_path","dep","org_clas","fund_cat","funding","previousy_actual","lasty_approved","lasty_amended","thisy_approved","thisy_amended","change_lastthis_amd"
350,"Manager","Parks and Recreation","Operations","Other","4th R Latchkey",6191601,5964275,5964275,5964275,5964275,0
410,"Manager","Public Works","Operations","Other","AB2928",1000000,0,0,0,0,0
82,"/","City Treasurer","Admin","Other","Assessment Reg/SDRIS",129286,185407,185407,218867,218867,33460
198,"Manager","Finance","Support","Other","Assessment Reg/SDRIS",504000,192286,192286,192286,192286,0
250,"Manager","General Services","Support","Other","Cal EPA",7719727,7701630,7701630,7701630,7701630,0
411,"Manager","Public Works","Operations","Other","Citation - I-5 Improvements",39233,10500,10500,10500,10500,0
126,"Manager","Convention Culture & Leisure","Operations","Enterprise","Community Center",12920436,14061221,14161223,14285029,14286153,124930
251,"Manager","General Services","Support","Enterprise","Community Center",2012,1327,1327,1453,1453,126
446,"Manager","Utilities","Operations","Enterprise","Community Center",4983,4983,4983,4983,4983,0
127,"Manager","Convention Culture & Leisure","Operations","Other","Culture and Leisure",39177,84000,84000,99000,99000,15000
178,"Manager","Economic Development","Operations","Other","Debt Service",42210,0,0,0,0,0
98,"Manager","Community Development","Operations","Other","Development Services Fund",-465647,-432000,-432000,-432000,-432000,0
199,"Manager","Finance","Support","Other","Downtown Management District",8337,8337,7616,7616,7616,0
128,"Manager","Convention Culture & Leisure","Operations","Other","Fairytale Town",59674,50000,50000,50000,50000,0
351,"Manager","Parks and Recreation","Operations","Other","Fairytale Town",-8800,0,0,0,0,0
252,"Manager","General Services","Support","Internal Service","Fleet Mgmt",35019537,34367934,34367935,36789989,36809457,2441522
286,"Manager","Human Resources","Support","Internal Service","Fleet Mgmt",40802,40582,40582,40582,40582,0
447,"Manager","Utilities","Operations","Internal Service","Fleet Mgmt",120436,158979,158979,158979,158979,0
253,"Manager","General Services","Support","Other","Gas Tax",242023,142929,142929,185043,185043,42114
412,"Manager","Public Works","Operations","Other","Gas Tax",4199347,8889829,8889829,7081796,7081796,-1808033
8,"/","Mayor Council","Admin","General Fund","General Fund",2717844,3027704,3930755,2541439,2364908,-1565847
24,"/","City Attorney","Admin","General Fund","General Fund",3024223,3070778,3060778,3752299,3877515,816737
42,"/","City Clerk","Admin","General Fund","General Fund",1160877,1101591,1101590,1111136,1346144,244554
58,"/","City Manager","Admin","General Fund","General Fund",1868229,1926621,1972148,1415890,1522359,-449788
83,"/","City Treasurer","Admin","General Fund","General Fund",1835530,1881671,1881672,1858490,1791429,-90243
99,"Manager","Community Development","Operations","General Fund","General Fund",19753477,19379814,19369515,19017565,19856374,486859
129,"Manager","Convention Culture & Leisure","Operations","General Fund","General Fund",5387633,4721257,4712687,4656796,4709223,-3464
179,"Manager","Economic Development","Operations","General Fund","General Fund",3855721,3155469,3155469,2829464,2827413,-328056
200,"Manager","Finance","Support","General Fund","General Fund",4093670,4223270,4184270,4272209,4474305,290035
234,"Manager","Fire","Operations","General Fund","General Fund",95693369,95456876,96323249,91629937,93271752,-3051497
254,"Manager","General Services","Support","General Fund","General Fund",10612336,9637609,9609986,9081042,9193210,-416776
287,"Manager","Human Resources","Support","General Fund","General Fund",2572141,2511519,2545132,2247017,2225303,-319829
322,"Manager","Information Technology","Support","General Fund","General Fund",5313827,4850666,4750667,3370912,3347546,-1403121
352,"Manager","Parks and Recreation","Operations","General Fund","General Fund",15304429,11099186,12066970,13572892,14077561,2010591
386,"Manager","Police","Operations","General Fund","General Fund",122698382,116329083,113631233,126286320,124024178,10392945
413,"Manager","Public Works","Operations","General Fund","General Fund",4886131,6862549,6388609,6786006,7327466,938857
448,"Manager","Utilities","Operations","General Fund","General Fund",136513,162410,162410,122410,122410,-40000
130,"Manager","Convention Culture & Leisure","Operations","Other","Golf",4919523,5914861,5914861,214443,208411,-5706450
